name,category,time.z5,time.z6,time.z4,time.z2,time.z3,time.z1,depth,rowSpacing,spacing,frost,sow,germination,maturity
Chilli,Vegetable,Sep-Nov,Sep-Nov,Aug-Dec,Aug-Dec,Jul-Mar,Jan-Dec,4,80-100,40-60,FT,R/D,10-20,60-110
"Corn,Sweet",Vegetable,Oct-Jan,Oct-Jan,Sep-Jan,Sep-Jan,Aug-Feb,Jan-Dec,15-25,50-90,20-30,FT,D,6-12,80-120
Cucumber,Vegetable,Oct-Dec,Oct-Dec,Sep-Feb,Sep-Feb,July-Mar,Feb-Sep,10,100-120,40-60,FT,D,10-15,60-90
Eggplant,Vegetable,Oct-Dec,Oct-Dec,Sep-Feb,Sep-Feb,Aug-Mar,Jan-Dec,4,80-90,50-75,FT,R/D,10-20,90-120
Endive,Vegetable,"Sep-Nov,Feb-Mar","Sep-Nov,Feb-Mar","Aug-Nov,Feb-Apr","Aug-Nov,Feb-Apr",Mar-Jul,Apr-Jul,5,20-30,20-30,H,R/D,10-20,50-80
Kale,Vegetable,Jan-Apr,Jan-Apr,Mar-Jun,Mar-Jun,Mar-Jun,Apr-Aug,10,50-100,40-60,H,R/D,6-12,50-70
Kohl Rabi,Vegetable,Aug-Mar,Aug-Mar,Aug-May,Aug-May,Mar-Aug,Mar-Aug,6,30-40,10-20,H,D,6-12,55-70
Leek,Vegetable,Sep-Apr,Sep-Apr,Aug-Apr,Aug-Apr,Jan-May,Feb-May,4,30-40,10-20,H,R,10-20,90-140
Lettuce,Vegetable,Sep-May,Sep-May,Jan-Dec,Jan-Dec,Jan-Dec,Apr-Nov,5,20-30,20-30,H,R/D,6-12,60-90
Mizuna,Vegetable,Aug-Mar,Aug-Mar,Jul-Aug,Jul-Aug,Jan-Dec,Jan-Dec,6,20-30,20-30,H,R/D,6-12,35-50
Mustard,Vegetable,Jan-Dec,Jan-Dec,Jan-Dec,Jan-Dec,Jan-Dec,Jan-Dec,6,40-60,30-40,H,D,6-12,30-60
Okra,Vegetable,Oct-Dec,Oct-Dec,Sep-Dec,Sep-Dec,Aug-Feb,Jan-Dec,10,90-120,35-60,FT,R/D,10-20,80-140
Onion,Vegetable,Feb-Sep,Feb-Sep,Feb-Aug,Feb-Aug,Feb-Jun,Feb-May,5,25-40,5-10,H,R/D,10-20,160-230
Parsnip,Vegetable,Aug-Feb,Aug-Feb,Jul-Mar,Jul-Mar,Feb-Sep,Mar-Aug,5,35-50,5-10,H,D,20-30,120-140
Pea,Vegetable,Jan-Oct,Jan-Oct,Feb-Sep,Feb-Sep,Mar-Jul,Mar-Jun,20-30,40-60,5-10,H,D,8-16,65-90
